comment,45 degrees Left
gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
-243.0000,369.0000,3.0000,0.0298,0.0122,0.9458
-67.0000,51.0000,69.0000,0.0278,-0.0044,0.9600
-79.0000,-21.0000,65.0000,0.0220,-0.0137,0.9663
-62.0000,-31.0000,67.0000,0.0132,-0.0127,0.9551
-142.0000,-100.0000,87.0000,0.0427,-0.0134,0.9846
115.0000,366.0000,45.0000,0.0266,-0.0088,0.9824
-119.0000,-149.0000,90.0000,0.0271,-0.0054,0.9695
-103.0000,6.0000,107.0000,0.0308,-0.0029,0.9424
-112.0000,10.0000,34.0000,0.0242,-0.0029,0.9749
-64.0000,29.0000,56.0000,0.0298,-0.0156,0.9802
-57.0000,21.0000,95.0000,0.0308,-0.0088,0.9783
-65.0000,30.0000,70.0000,0.0281,-0.0039,0.9697
-61.0000,17.0000,51.0000,0.0256,-0.0120,0.9663
-56.0000,8.0000,74.0000,0.0305,-0.0083,0.9746
-65.0000,244.0000,103.0000,0.0256,-0.0012,0.9810
-65.0000,0.0000,38.0000,0.0310,-0.0105,0.9692
-79.0000,-14.0000,63.0000,0.0271,-0.0271,0.9731
-54.0000,255.0000,69.0000,0.0164,-0.0098,0.9756
-93.0000,-19.0000,74.0000,0.0208,-0.0125,0.9731
-92.0000,-42.0000,56.0000,0.0254,-0.0105,0.9829
-66.0000,34.0000,73.0000,0.0295,-0.0115,0.9709
-69.0000,35.0000,46.0000,0.0281,-0.0085,0.9780
-86.0000,-65.0000,43.0000,0.0266,-0.0088,0.9783
-87.0000,-1993.0000,90.0000,0.0205,-0.0098,1.0034
-125.0000,-5078.0000,183.0000,0.0542,-0.0159,1.0034
-187.0000,-7540.0000,181.0000,0.0859,-0.0010,0.9854
-127.0000,-5809.0000,415.0000,0.1567,-0.0120,0.9475
21.0000,-3763.0000,916.0000,0.2034,-0.0090,0.9326
20.0000,-2735.0000,748.0000,0.2498,-0.0208,0.9343
-110.0000,-3016.0000,98.0000,0.2522,-0.0193,0.9670
-119.0000,-3031.0000,106.0000,0.2817,-0.0015,0.9421
-115.0000,-3046.0000,106.0000,0.2849,-0.0176,0.9431
-153.0000,-4412.0000,146.0000,0.3186,-0.0137,0.9172
-150.0000,-5562.0000,154.0000,0.3450,-0.0176,0.9490
-141.0000,-5896.0000,175.0000,0.4058,-0.0217,0.9185
-148.0000,-5343.0000,145.0000,0.4607,-0.0232,0.8652
-132.0000,-3440.0000,120.0000,0.4817,-0.0149,0.8782
-108.0000,-2473.0000,139.0000,0.5046,-0.0220,0.8584
-110.0000,-4690.0000,142.0000,0.5256,-0.0288,0.8506
-170.0000,-5561.0000,164.0000,0.5527,-0.0232,0.8262
-264.0000,-4939.0000,7.0000,0.6021,-0.0239,0.7937
-195.0000,-3430.0000,-15.0000,0.6145,-0.0164,0.8010
-157.0000,-3498.0000,55.0000,0.6313,-0.0210,0.7788
-237.0000,-4114.0000,19.0000,0.6809,-0.0251,0.7207
-149.0000,-4844.0000,176.0000,0.7078,-0.0247,0.6978
-199.0000,-3489.0000,218.0000,0.7126,-0.0327,0.6904
-215.0000,-3122.0000,151.0000,0.7246,-0.0249,0.7017
-164.0000,-3376.0000,171.0000,0.7412,-0.0391,0.6746
-98.0000,-2213.0000,52.0000,0.7585,-0.0264,0.6667
-114.0000,-2729.0000,130.0000,0.7925,-0.0457,0.6101
-70.0000,-2486.0000,88.0000,0.7957,-0.0073,0.6526
-92.0000,-2341.0000,123.0000,0.8015,-0.0334,0.6184
-119.0000,-2317.0000,-89.0000,0.7717,0.0037,0.6226
-69.0000,-1887.0000,40.0000,0.8276,-0.0315,0.5779
-60.0000,-1718.0000,54.0000,0.8335,-0.0361,0.5728
-56.0000,-1575.0000,40.0000,0.8354,-0.0205,0.5884
-70.0000,-1788.0000,58.0000,0.8420,-0.0352,0.5503
-37.0000,-2020.0000,23.0000,0.8542,-0.0342,0.5554
-19.0000,-2328.0000,63.0000,0.8613,-0.0356,0.5430
53.0000,-2209.0000,48.0000,0.8706,-0.0256,0.5032
-21.0000,-1911.0000,40.0000,0.8926,-0.0276,0.4995
-21.0000,-1718.0000,50.0000,0.9045,-0.0288,0.5015
-94.0000,-949.0000,48.0000,0.8989,-0.0315,0.4814
-94.0000,-1125.0000,66.0000,0.9128,-0.0300,0.4670
-45.0000,-809.0000,87.0000,0.9006,-0.0283,0.4817
-25.0000,-718.0000,66.0000,0.9170,-0.0259,0.4507
-50.0000,-470.0000,74.0000,0.9133,-0.0164,0.4600
-56.0000,282.0000,47.0000,0.9116,-0.0364,0.4636
-82.0000,126.0000,64.0000,0.9084,-0.0303,0.4500
-69.0000,46.0000,65.0000,0.9136,-0.0359,0.4827
-75.0000,-61.0000,88.0000,0.9070,-0.0432,0.4609
-57.0000,47.0000,43.0000,0.9119,-0.0261,0.4578
-72.0000,-48.0000,59.0000,0.9192,-0.0303,0.4634
-77.0000,-92.0000,80.0000,0.9092,-0.0444,0.4619
-73.0000,-23.0000,94.0000,0.9126,-0.0317,0.4578
-50.0000,32.0000,78.0000,0.9136,-0.0322,0.4626
-69.0000,33.0000,52.0000,0.9136,-0.0291,0.4609
-93.0000,-258.0000,63.0000,0.9014,-0.0452,0.4646
-66.0000,-44.0000,86.0000,0.9163,-0.0269,0.4595
-65.0000,134.0000,62.0000,0.9097,-0.0278,0.4521
-64.0000,-151.0000,54.0000,0.9158,-0.0361,0.4553
-49.0000,-187.0000,82.0000,0.9111,-0.0281,0.4680
-60.0000,-46.0000,62.0000,0.9143,-0.0430,0.4517
-83.0000,66.0000,80.0000,0.9158,-0.0342,0.4536
-65.0000,316.0000,70.0000,0.9194,-0.0300,0.4514
-57.0000,-75.0000,74.0000,0.9150,-0.0442,0.4460
-60.0000,1070.0000,49.0000,0.9070,-0.0447,0.4648
-78.0000,1069.0000,48.0000,0.9170,-0.0322,0.4609
-87.0000,2708.0000,91.0000,0.8950,-0.0339,0.4878
-71.0000,2300.0000,72.0000,0.8965,-0.0308,0.4822
-70.0000,2433.0000,114.0000,0.8828,-0.0325,0.5115
-75.0000,3598.0000,131.0000,0.8752,-0.0339,0.5149
-78.0000,4158.0000,146.0000,0.8450,-0.0261,0.5520
-108.0000,5313.0000,140.0000,0.8293,-0.0193,0.5750
28.0000,4630.0000,-27.0000,0.8281,-0.0198,0.5911
43.0000,5455.0000,16.0000,0.7776,-0.0186,0.6467
44.0000,5679.0000,-25.0000,0.7473,-0.0308,0.6738
53.0000,5803.0000,249.0000,0.7122,-0.0244,0.6887
61.0000,5243.0000,25.0000,0.6621,-0.0310,0.7651
28.0000,5216.0000,-4.0000,0.6528,-0.0212,0.7563
6.0000,6357.0000,206.0000,0.6196,-0.0271,0.7944
