comment,45 degrees Right
gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
-105.0000,-66.0000,80.0000,0.0232,-0.0015,0.9834
-111.0000,-85.0000,108.0000,0.0046,-0.0103,0.9597
-54.0000,47.0000,40.0000,0.0286,-0.0120,0.9792
-84.0000,-244.0000,90.0000,0.0205,-0.0059,0.9912
-66.0000,-32.0000,99.0000,0.0386,-0.0044,0.9648
-86.0000,-44.0000,37.0000,0.0034,-0.0063,0.9712
-31.0000,94.0000,107.0000,0.0261,-0.0112,0.9714
-34.0000,116.0000,28.0000,0.0188,-0.0137,0.9712
-50.0000,60.0000,48.0000,0.0190,-0.0071,0.9565
-46.0000,91.0000,62.0000,0.0215,-0.0081,0.9868
14.0000,159.0000,72.0000,0.0237,-0.0103,0.9812
-34.0000,1191.0000,53.0000,0.0146,-0.0122,0.9766
-64.0000,654.0000,73.0000,0.0190,-0.0044,1.0132
-26.0000,2351.0000,38.0000,-0.0103,-0.0117,0.9639
-1.0000,3435.0000,19.0000,-0.0139,0.0000,0.9761
-50.0000,2916.0000,37.0000,-0.0847,-0.0188,0.9600
3.0000,3892.0000,-37.0000,-0.0659,-0.0071,0.9451
-4.0000,3682.0000,-43.0000,-0.1018,-0.0137,0.9822
-11.0000,4679.0000,-2.0000,-0.1140,-0.0015,0.9497
5.0000,4070.0000,-32.0000,-0.1584,-0.0073,0.9509
-5.0000,4728.0000,-11.0000,-0.1892,-0.0093,0.9746
-26.0000,4478.0000,-16.0000,-0.2385,-0.0159,0.9055
-17.0000,4233.0000,-49.0000,-0.2771,-0.0034,0.9246
-248.0000,4343.0000,-247.0000,-0.2832,-0.0139,0.8997
35.0000,3990.0000,-1.0000,-0.3420,-0.0042,0.9043
-33.0000,4482.0000,-33.0000,-0.3613,-0.0081,0.8857
-62.0000,4165.0000,-28.0000,-0.3860,0.0000,0.8677
-256.0000,4271.0000,-55.0000,-0.4089,-0.0193,0.8545
-59.0000,4047.0000,-30.0000,-0.4541,-0.0049,0.8521
26.0000,3880.0000,-108.0000,-0.4712,-0.0037,0.8096
-49.0000,3522.0000,-19.0000,-0.5024,-0.0112,0.8035
-72.0000,2729.0000,7.0000,-0.5315,-0.0046,0.8120
-11.0000,1672.0000,35.0000,-0.5420,-0.0193,0.7827
-295.0000,1656.0000,494.0000,-0.5227,-0.0073,0.8179
-264.0000,1676.0000,370.0000,-0.5557,-0.0063,0.7751
-98.0000,1342.0000,65.0000,-0.5647,0.0142,0.7607
-52.0000,1426.0000,63.0000,-0.5637,-0.0007,0.7539
-117.0000,811.0000,169.0000,-0.6365,-0.0173,0.6592
-45.0000,1480.0000,-237.0000,-0.5681,-0.0129,0.7869
