comment,45 degrees Up
gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
-55.0000,-7.0000,57.0000,0.0183,-0.0095,0.9546
-539.0000,-1535.0000,49.0000,0.0046,0.0081,0.9282
-151.0000,-64.0000,56.0000,0.0168,-0.0098,0.9697
-91.0000,-20.0000,52.0000,0.0288,-0.0281,0.9668
-954.0000,-12.0000,-450.0000,0.0198,0.0093,0.9805
-3274.0000,-44.0000,-600.0000,0.0293,-0.0005,0.9858
-4972.0000,7.0000,-422.0000,0.0190,-0.0701,0.9683
-4332.0000,255.0000,34.0000,0.0312,-0.0940,0.9709
-4438.0000,4.0000,3.0000,0.0222,-0.1421,0.9646
-4128.0000,-15.0000,31.0000,0.0276,-0.1614,0.9631
-4387.0000,-35.0000,89.0000,0.0442,-0.2009,0.9534
-4401.0000,-18.0000,109.0000,0.0276,-0.2285,0.9519
-3447.0000,-10.0000,57.0000,0.0461,-0.2388,0.9495
-3885.0000,9.0000,22.0000,0.0459,-0.2844,0.9353
-3543.0000,25.0000,-24.0000,0.0139,-0.3030,0.9331
-3401.0000,33.0000,-68.0000,0.0261,-0.3440,0.9319
-2864.0000,83.0000,-148.0000,0.0330,-0.3689,0.9077
-1946.0000,64.0000,-157.0000,0.0349,-0.3835,0.8987
-1730.0000,13.0000,53.0000,0.0303,-0.3901,0.9136
-1984.0000,-19.0000,101.0000,0.0374,-0.4214,0.8899
-2541.0000,-220.0000,259.0000,0.0461,-0.4155,0.8918
-2361.0000,-223.0000,486.0000,0.0288,-0.4360,0.8904
-2875.0000,-253.0000,567.0000,0.0303,-0.4612,0.8835
-2181.0000,-140.0000,301.0000,0.0269,-0.4707,0.8535
-2431.0000,-121.0000,13.0000,0.0378,-0.4832,0.8601
-2721.0000,-148.0000,215.0000,0.0320,-0.4851,0.8547
-2951.0000,-71.0000,104.0000,0.0276,-0.5271,0.8340
-2414.0000,13.0000,2.0000,0.0325,-0.5369,0.8235
-2256.0000,55.0000,-75.0000,0.0461,-0.5530,0.8218
-2503.0000,-250.0000,61.0000,0.0305,-0.5732,0.8044
-2497.0000,2.0000,68.0000,0.0452,-0.5898,0.7964
-2385.0000,-126.0000,227.0000,0.0337,-0.6111,0.7769
-1689.0000,-252.0000,54.0000,0.0352,-0.6133,0.7632
-1296.0000,-98.0000,171.0000,0.0371,-0.6379,0.7676
-1092.0000,-108.0000,189.0000,0.0264,-0.6335,0.7583
-1069.0000,-176.0000,303.0000,0.0371,-0.6426,0.7578
-188.0000,28.0000,55.0000,0.0322,-0.6479,0.7598
-404.0000,-3.0000,108.0000,0.0337,-0.6431,0.7510
322.0000,217.0000,-163.0000,0.0315,-0.6438,0.7559
43.0000,50.0000,46.0000,0.0325,-0.6479,0.7566
36.0000,27.0000,66.0000,0.0322,-0.6260,0.7612
103.0000,54.0000,28.0000,0.0386,-0.6348,0.7598
-19.0000,21.0000,37.0000,0.0327,-0.6445,0.7583
-147.0000,55.0000,63.0000,0.0312,-0.6418,0.7661
-409.0000,-33.0000,102.0000,0.0342,-0.6470,0.7595
