comment,90 degrees Down
gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
-63.0000,93.0000,96.0000,0.0203,-0.0088,0.9753
-76.0000,106.0000,65.0000,0.0186,-0.0078,0.9668
-86.0000,-10.0000,90.0000,0.0183,-0.0042,0.9792
-64.0000,34.0000,53.0000,0.0227,-0.0093,0.9763
-66.0000,39.0000,73.0000,0.0208,-0.0107,0.9565
-20.0000,66.0000,303.0000,0.0037,-0.0046,0.9763
319.0000,-357.0000,244.0000,0.0210,-0.0024,0.9741
415.0000,-126.0000,107.0000,0.0208,-0.0105,0.9968
1097.0000,560.0000,237.0000,0.0598,0.0251,0.9976
246.0000,-187.0000,-319.0000,0.0459,0.0098,1.0286
838.0000,24.0000,-30.0000,-0.0110,0.0142,0.9609
1276.0000,2.0000,27.0000,0.0115,0.0388,1.0686
3020.0000,-29.0000,183.0000,0.0491,0.0476,0.9924
3220.0000,-606.0000,28.0000,0.0383,0.0610,0.9751
3897.0000,-68.0000,-90.0000,0.0359,0.0879,0.9739
3625.0000,-124.0000,-345.0000,0.0171,0.1372,0.9343
3042.0000,-93.0000,-244.0000,0.0359,0.1384,0.9495
2988.0000,-204.0000,-493.0000,0.0117,0.1670,0.9939
4065.0000,460.0000,-146.0000,0.0615,0.2168,0.9563
3988.0000,-440.0000,194.0000,0.0154,0.2231,0.9629
4385.0000,196.0000,57.0000,0.0205,0.2502,0.9429
4490.0000,481.0000,350.0000,0.0144,0.2883,0.9321
4699.0000,-33.0000,-43.0000,0.0371,0.3489,0.9065
4342.0000,-121.0000,118.0000,0.0132,0.3440,0.8882
3481.0000,26.0000,-233.0000,0.0200,0.3845,0.8491
2942.0000,-201.0000,-472.0000,0.0435,0.4187,0.8901
3548.0000,-103.0000,-567.0000,0.0264,0.4417,0.8862
4073.0000,500.0000,-926.0000,-0.0032,0.4473,0.8232
4596.0000,-202.0000,-678.0000,0.0527,0.4993,0.8472
4854.0000,-1092.0000,-4.0000,0.0210,0.5291,0.7595
3656.0000,-1196.0000,93.0000,0.0381,0.5593,0.7671
2416.0000,-257.0000,-196.0000,0.0037,0.5518,0.7163
1222.0000,-355.0000,-361.0000,0.0671,0.5906,0.7808
1695.0000,-426.0000,-411.0000,0.0049,0.5959,0.7405
1484.0000,-255.0000,-268.0000,0.0286,0.6187,0.7554
2454.0000,-364.0000,-231.0000,0.0320,0.6116,0.7434
2839.0000,-212.0000,-229.0000,0.0457,0.6558,0.7744
