comment,90 degrees Left
gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
-78.0000,-26.0000,57.0000,0.0273,-0.0044,0.9780
-91.0000,-43.0000,64.0000,0.0210,-0.0156,0.9739
-95.0000,-58.0000,53.0000,0.0298,-0.0105,0.9709
-40.0000,-736.0000,94.0000,0.0278,-0.0112,0.9719
-82.0000,-559.0000,70.0000,0.0349,-0.0105,0.9780
-104.0000,-1578.0000,298.0000,0.0110,-0.0066,0.9897
-85.0000,-2947.0000,387.0000,0.0642,-0.0142,0.9814
-37.0000,-3223.0000,1047.0000,0.0691,-0.0105,0.9695
-47.0000,-2210.0000,657.0000,0.1287,-0.0146,0.9822
-122.0000,-3986.0000,417.0000,0.1150,-0.0144,0.9871
-125.0000,-6658.0000,675.0000,0.1458,-0.0046,0.9717
-113.0000,-5211.0000,220.0000,0.2278,-0.0173,0.9485
-130.0000,-3932.0000,240.0000,0.2639,-0.0103,0.9685
-82.0000,-4288.0000,285.0000,0.2944,-0.0244,0.9172
-82.0000,-2306.0000,158.0000,0.3237,-0.0149,0.9314
-116.0000,-1648.0000,82.0000,0.3359,-0.0225,0.9336
-88.0000,-1109.0000,89.0000,0.3452,-0.0166,0.9207
-65.0000,-1965.0000,74.0000,0.3608,-0.0161,0.9182
-72.0000,-1275.0000,244.0000,0.3291,-0.0134,0.9600
43.0000,-2603.0000,469.0000,0.3977,-0.0242,0.9089
-90.0000,-5303.0000,247.0000,0.3862,-0.0190,0.9172
56.0000,-3666.0000,475.0000,0.4280,-0.0229,0.8870
61.0000,-3169.0000,442.0000,0.4949,-0.0283,0.8652
-121.0000,-3575.0000,115.0000,0.5134,-0.0181,0.8313
-111.0000,-2248.0000,125.0000,0.4856,-0.0249,0.8752
-120.0000,-1987.0000,118.0000,0.5247,-0.0200,0.8462
-58.0000,-2140.0000,140.0000,0.5422,-0.0293,0.8323
-43.0000,-3382.0000,294.0000,0.5608,-0.0342,0.8225
-28.0000,-1756.0000,186.0000,0.5759,-0.0229,0.8096
-27.0000,-1528.0000,171.0000,0.6025,-0.0232,0.7815
-55.0000,-959.0000,119.0000,0.5918,-0.0210,0.8000
-70.0000,-556.0000,71.0000,0.6089,-0.0276,0.7949
220.0000,352.0000,411.0000,0.6055,-0.0273,0.8096
-98.0000,-2074.0000,93.0000,0.5845,-0.0256,0.8008
-134.0000,-2381.0000,153.0000,0.6047,-0.0198,0.8035
-121.0000,-2134.0000,72.0000,0.6304,-0.0195,0.7822
-98.0000,-3431.0000,128.0000,0.6462,-0.0332,0.7771
-122.0000,-4452.0000,164.0000,0.6467,-0.0264,0.7739
-140.0000,-5710.0000,131.0000,0.7124,-0.0312,0.7092
-160.0000,-5561.0000,134.0000,0.7439,-0.0173,0.6731
-164.0000,-5437.0000,160.0000,0.7549,-0.0259,0.6479
-138.0000,-3209.0000,92.0000,0.7922,-0.0371,0.6160
-144.0000,-3559.0000,104.0000,0.7947,-0.0361,0.6233
-46.0000,-2539.0000,28.0000,0.8132,-0.0266,0.5916
-36.0000,-2960.0000,11.0000,0.8135,-0.0337,0.6028
-8.0000,-3234.0000,-22.0000,0.8572,-0.0205,0.5439
146.0000,-3443.0000,97.0000,0.8462,-0.0281,0.5737
375.0000,-5436.0000,197.0000,0.8958,-0.0295,0.4395
274.0000,-3161.0000,193.0000,0.8777,-0.0193,0.5149
850.0000,-4763.0000,487.0000,0.9099,-0.0664,0.4810
1065.0000,-6545.0000,467.0000,0.8538,-0.0295,0.3059
197.0000,-4299.0000,0.0000,0.9292,0.0312,0.3386
334.0000,-3708.0000,445.0000,0.9534,-0.0251,0.4153
246.0000,-3471.0000,279.0000,0.9963,-0.0374,0.2629
674.0000,-5425.0000,519.0000,0.9636,-0.0405,0.3418
401.0000,-3311.0000,314.0000,1.0576,-0.0208,0.1521
-410.0000,-1028.0000,-11.0000,0.9873,-0.0369,0.2803
-138.0000,-2406.0000,68.0000,1.0076,-0.0325,0.2300
1242.0000,-2022.0000,575.0000,0.9966,-0.0500,0.2212
930.0000,-2523.0000,280.0000,1.0288,-0.0249,0.1785
-53.0000,-2296.0000,124.0000,1.0244,-0.0244,0.1536
-129.0000,-2636.0000,113.0000,1.0283,-0.0374,0.1489
-203.0000,-4343.0000,189.0000,1.0234,-0.0288,0.1423
-364.0000,-2039.0000,104.0000,1.0503,-0.0356,0.0498
-79.0000,-965.0000,76.0000,1.0461,-0.0396,0.0779
-5.0000,-1898.0000,109.0000,1.0554,0.0127,0.0322
-75.0000,-1203.0000,67.0000,1.0413,-0.0391,0.0645
-79.0000,558.0000,15.0000,1.0315,-0.0349,0.0483
-26.0000,272.0000,58.0000,1.0383,-0.0361,0.0725
-61.0000,25.0000,44.0000,1.0403,-0.0386,0.0591
-57.0000,105.0000,30.0000,1.0444,-0.0342,0.0637
-41.0000,-651.0000,79.0000,1.0459,-0.0396,0.0549
-83.0000,82.0000,65.0000,1.0557,-0.0205,0.0747
-73.0000,-65.0000,46.0000,1.0388,-0.0349,0.0681
-76.0000,-18.0000,66.0000,1.0452,-0.0303,0.0581
-76.0000,-302.0000,53.0000,1.0454,-0.0356,0.0601
-86.0000,-106.0000,46.0000,1.0608,-0.0369,0.0525
