comment,90 degrees Right
gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
-295.0000,-554.0000,217.0000,-0.1477,0.0664,1.4077
-152.0000,-362.0000,110.0000,-0.0117,-0.0107,1.0449
-90.0000,-25.0000,99.0000,0.0146,-0.0103,0.9773
-32.0000,63.0000,75.0000,0.0308,-0.0059,0.9651
-35.0000,1019.0000,63.0000,0.0127,-0.0073,0.9858
-42.0000,1630.0000,40.0000,0.0295,0.0015,1.0181
247.0000,5880.0000,-74.0000,-0.0120,-0.0017,0.9875
29.0000,7464.0000,-123.0000,-0.0647,-0.0156,0.9827
25.0000,8708.0000,-82.0000,-0.1094,-0.0015,0.9902
44.0000,10586.0000,-123.0000,-0.1956,-0.0020,0.9385
-12.0000,7794.0000,-70.0000,-0.2603,-0.0115,0.9390
-166.0000,8433.0000,351.0000,-0.3313,0.0032,0.9172
30.0000,9521.0000,-130.0000,-0.4041,-0.0107,0.8647
7.0000,11129.0000,-162.0000,-0.4429,-0.0027,0.8682
-879.0000,12666.0000,1140.0000,-0.5542,0.0044,0.7275
-455.0000,9121.0000,490.0000,-0.5916,0.0244,0.7732
167.0000,8176.0000,-275.0000,-0.6497,-0.0044,0.6912
213.0000,6946.0000,-303.0000,-0.6975,-0.0029,0.6252
1107.0000,6848.0000,-975.0000,-0.7214,-0.0039,0.5859
1721.0000,6231.0000,-1331.0000,-0.7388,-0.0061,0.5813
2400.0000,5287.0000,-1720.0000,-0.7798,-0.0049,0.5701
-113.0000,3877.0000,35.0000,-0.8386,-0.0076,0.4275
-605.0000,1494.0000,287.0000,-0.8079,0.0039,0.4771
-27.0000,2805.0000,13.0000,-0.8308,-0.0024,0.4749
-15.0000,4237.0000,16.0000,-0.8408,-0.0044,0.4495
-6.0000,4718.0000,253.0000,-0.8687,-0.0183,0.3845
45.0000,4041.0000,192.0000,-0.8904,-0.0129,0.3367
85.0000,3528.0000,99.0000,-0.8750,0.0344,0.3438
-164.0000,2073.0000,133.0000,-0.9089,-0.0122,0.3218
-148.0000,4711.0000,467.0000,-0.9309,-0.0334,0.3352
-225.0000,4889.0000,-27.0000,-0.9021,-0.0168,0.2605
292.0000,3347.0000,-176.0000,-0.9407,-0.0168,0.2229
75.0000,2231.0000,-63.0000,-0.9473,-0.0012,0.1663
-252.0000,2235.0000,-63.0000,-0.9404,-0.0083,0.2131
180.0000,1702.0000,1.0000,-0.9451,-0.0166,0.1589
-184.0000,2486.0000,29.0000,-0.9453,-0.0137,0.1519
-193.0000,2804.0000,0.0000,-0.9380,-0.0061,0.1260
4.0000,474.0000,-73.0000,-0.9656,-0.0103,0.0801
-106.0000,480.0000,66.0000,-0.9458,-0.0076,0.1421
-166.0000,1685.0000,-6.0000,-0.9561,-0.0081,0.1194
-94.0000,1062.0000,74.0000,-0.9519,-0.0166,0.1165
-129.0000,301.0000,51.0000,-0.9651,-0.0161,0.1152
-107.0000,539.0000,67.0000,-0.9653,-0.0171,0.0959
-51.0000,14.0000,55.0000,-0.9578,-0.0156,0.0945
-45.0000,-115.0000,78.0000,-0.9387,-0.0142,0.1140
-81.0000,198.0000,-236.0000,-0.9644,-0.0100,0.0830
-42.0000,562.0000,70.0000,-0.9380,-0.0088,0.0979
-53.0000,-60.0000,37.0000,-0.9590,-0.0061,0.0918
-55.0000,65.0000,59.0000,-0.9700,-0.0166,0.0872
-254.0000,-1648.0000,92.0000,-0.9612,-0.0173,0.1016
-25.0000,-721.0000,23.0000,-0.9600,-0.0227,0.1025
118.0000,-1661.0000,18.0000,-0.9644,-0.0159,0.0972
98.0000,-1946.0000,51.0000,-0.9556,-0.0017,0.1279
70.0000,-2047.0000,42.0000,-0.9602,-0.0129,0.1079
-97.0000,-1338.0000,108.0000,-0.9524,-0.0208,0.1577
-102.0000,-3078.0000,143.0000,-0.9490,-0.0107,0.1562
-112.0000,-4728.0000,199.0000,-0.9495,-0.0132,0.1670
-155.0000,-6914.0000,222.0000,-0.9119,-0.0161,0.2974
-52.0000,-2789.0000,117.0000,-0.9048,-0.0037,0.3079
-59.0000,-2821.0000,124.0000,-0.9136,-0.0100,0.3005
-102.0000,-3160.0000,44.0000,-0.8972,-0.0071,0.3477
-646.0000,-4702.0000,251.0000,-0.8901,-0.0020,0.4373
-140.0000,-6966.0000,196.0000,-0.8638,-0.0037,0.3938
-103.0000,-6364.0000,221.0000,-0.8547,-0.0095,0.4175
-122.0000,-8531.0000,4.0000,-0.8245,-0.0071,0.4780
-148.0000,-5172.0000,215.0000,-0.7202,-0.0002,0.6248
-131.0000,-4224.0000,178.0000,-0.7788,-0.0071,0.5461
-119.0000,-5653.0000,232.0000,-0.7446,-0.0051,0.5813
-145.0000,-8085.0000,265.0000,-0.6997,-0.0134,0.6426
-160.0000,-8123.0000,494.0000,-0.6399,-0.0083,0.7285
-108.0000,-4333.0000,143.0000,-0.6021,-0.0066,0.7612
-126.0000,-3338.0000,143.0000,-0.6238,-0.0066,0.7156
-99.0000,-4510.0000,151.0000,-0.5815,-0.0051,0.7527
-97.0000,-6207.0000,191.0000,-0.5513,-0.0056,0.7612
-129.0000,-6420.0000,179.0000,-0.4807,-0.0022,0.8630
-119.0000,-5521.0000,182.0000,-0.4497,-0.0056,0.8523
-96.0000,-5696.0000,181.0000,-0.4294,-0.0059,0.8403
-110.0000,-6689.0000,234.0000,-0.3723,-0.0027,0.8950
-157.0000,-7242.0000,219.0000,-0.3228,-0.0049,0.8960
-99.0000,-6003.0000,144.0000,-0.2686,-0.0029,0.9119
-114.0000,-6259.0000,143.0000,-0.2048,-0.0034,0.9780
-119.0000,-4495.0000,158.0000,-0.1816,0.0103,0.9714
-113.0000,-4019.0000,169.0000,-0.1851,-0.0081,0.9138
-123.0000,-5541.0000,185.0000,-0.1147,-0.0134,0.9587
-170.0000,-5514.0000,189.0000,-0.0757,-0.0024,0.9958
-89.0000,-2932.0000,141.0000,-0.0486,-0.0056,0.9561
-127.0000,-3520.0000,149.0000,-0.0093,-0.0010,1.0110
-131.0000,-3850.0000,165.0000,-0.0190,-0.0059,0.9504
-103.0000,-194.0000,131.0000,-0.0830,0.0161,0.7964
-31.0000,-67.0000,26.0000,-0.0032,-0.0022,0.9414
-80.0000,-17.0000,72.0000,0.0178,-0.0049,0.9727
-59.0000,12.0000,63.0000,0.0176,-0.0139,0.9761
-52.0000,35.0000,55.0000,0.0198,-0.0046,0.9976
-58.0000,10.0000,73.0000,0.0183,-0.0029,0.9761
-72.0000,-20.0000,59.0000,0.0300,-0.0063,0.9722
-89.0000,-17.0000,67.0000,0.0227,-0.0015,0.9712
-128.0000,-116.0000,82.0000,0.0281,-0.0374,0.9907
-66.0000,-255.0000,48.0000,0.0283,-0.0066,0.9814
-76.0000,13.0000,44.0000,0.0164,-0.0146,0.9822
-60.0000,20.0000,60.0000,0.0164,-0.0024,0.9727
-47.0000,30.0000,-2.0000,0.0225,-0.0012,0.9688
-74.0000,39.0000,86.0000,0.0200,-0.0095,0.9541
-56.0000,4.0000,72.0000,0.0210,-0.0090,0.9697
-70.0000,14.0000,62.0000,0.0198,-0.0083,0.9827
-71.0000,14.0000,45.0000,0.0166,-0.0137,0.9746
-62.0000,39.0000,87.0000,0.0239,-0.0027,0.9673
-64.0000,33.0000,50.0000,0.0234,-0.0029,0.9531
-76.0000,25.0000,44.0000,0.0173,-0.0100,0.9783
-65.0000,19.0000,10.0000,0.0176,-0.0022,0.9773
