comment,90 degrees up
gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
-79.0000,0.0000,75.0000,0.0215,-0.0044,0.9797
-83.0000,24.0000,47.0000,0.0171,-0.0107,0.9783
-90.0000,17.0000,56.0000,0.0188,-0.0076,0.9712
-76.0000,2.0000,76.0000,0.0178,-0.0125,0.9751
-72.0000,7.0000,74.0000,0.0181,-0.0039,0.9712
-343.0000,-526.0000,74.0000,0.0178,-0.0134,0.9702
-185.0000,-172.0000,69.0000,0.0332,-0.0227,0.9736
-111.0000,-38.0000,90.0000,0.0420,-0.0115,0.9692
-83.0000,132.0000,-414.0000,0.0278,0.0105,0.9470
-84.0000,1.0000,-648.0000,0.0452,0.0142,0.9583
-256.0000,-149.0000,-373.0000,0.0364,-0.0190,1.0500
-105.0000,-49.0000,-914.0000,0.0210,0.0154,0.9468
-92.0000,18.0000,-191.0000,0.0349,-0.0107,0.9741
-34.0000,60.0000,396.0000,0.0442,-0.0471,0.9739
-55.0000,53.0000,372.0000,0.0217,-0.0635,0.9727
332.0000,982.0000,77.0000,0.1218,-0.0503,1.1699
-130.0000,720.0000,46.0000,0.0369,0.0415,0.9751
-30.0000,172.0000,34.0000,0.0286,-0.0100,0.9590
-49.0000,48.0000,42.0000,0.0222,-0.0115,0.9583
-41.0000,17.0000,75.0000,0.0190,-0.0034,0.9583
-56.0000,23.0000,64.0000,0.0249,-0.0107,0.9705
-65.0000,-236.0000,50.0000,0.0239,-0.0090,0.9766
-65.0000,42.0000,55.0000,0.0220,-0.0044,0.9834
-33.0000,29.0000,95.0000,0.0190,-0.0090,0.9783
-71.0000,25.0000,72.0000,0.0181,-0.0176,0.9670
-44.0000,35.0000,72.0000,0.0210,-0.0022,0.9597
-77.0000,251.0000,64.0000,0.0256,-0.0107,0.9673
-80.0000,-27.0000,49.0000,0.0193,-0.0029,0.9810
-42.0000,100.0000,51.0000,0.0217,-0.0139,0.9551
-584.0000,-974.0000,1250.0000,0.0212,0.0010,0.9690
-778.0000,-57.0000,16.0000,0.0171,-0.0542,0.9597
-916.0000,27.0000,-322.0000,0.0188,-0.0156,0.9761
