gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
-42.0000,251.0000,41.0000,0.0220,-0.0005,0.9739
-81.0000,9.0000,81.0000,0.0269,-0.0059,0.9802
-44.0000,19.0000,51.0000,0.0154,-0.0066,0.9700
-75.0000,27.0000,74.0000,0.0193,0.0000,0.9773
-70.0000,-1.0000,50.0000,0.0227,-0.0044,0.9736
-53.0000,13.0000,68.0000,0.0181,-0.0005,0.9758
-76.0000,35.0000,81.0000,0.0300,-0.0063,0.9756
-47.0000,15.0000,90.0000,0.0200,-0.0073,0.9802
-67.0000,38.0000,104.0000,0.0171,-0.0049,0.9749
-74.0000,25.0000,63.0000,0.0212,-0.0120,0.9746
-76.0000,-14.0000,88.0000,0.0254,-0.0100,0.9768
-61.0000,35.0000,60.0000,0.0205,-0.0061,0.9766
-76.0000,35.0000,89.0000,0.0166,-0.0120,0.9690
-61.0000,26.0000,53.0000,0.0229,-0.0059,0.9810
-53.0000,14.0000,107.0000,0.0186,-0.0081,0.9585
-66.0000,38.0000,51.0000,0.0281,-0.0120,0.9756
-59.0000,28.0000,74.0000,0.0193,-0.0105,0.9795
-48.0000,11.0000,56.0000,0.0300,0.0083,0.9797
-51.0000,36.0000,39.0000,0.0156,-0.0107,0.9680
-58.0000,23.0000,67.0000,0.0183,-0.0054,0.9641
-53.0000,-2.0000,72.0000,0.0178,-0.0098,0.9744
-67.0000,42.0000,58.0000,0.0176,-0.0073,0.9695
-93.0000,2.0000,30.0000,0.0156,-0.0046,0.9812
-72.0000,24.0000,47.0000,0.0166,-0.0044,0.9729
-59.0000,12.0000,43.0000,0.0212,-0.0032,0.9780
-54.0000,32.0000,69.0000,0.0210,-0.0100,0.9724
-64.0000,3.0000,47.0000,0.0193,-0.0059,0.9756
-57.0000,16.0000,65.0000,0.0132,-0.0071,0.9656
-58.0000,14.0000,26.0000,0.0149,0.0027,0.9678
-57.0000,6.0000,61.0000,0.0193,-0.0090,0.9775
-71.0000,30.0000,101.0000,0.0188,-0.0034,0.9548
-69.0000,29.0000,120.0000,0.0242,-0.0046,0.9702
-41.0000,31.0000,79.0000,0.0159,-0.0103,0.9817
-91.0000,9.0000,42.0000,0.0220,-0.0083,0.9719
-70.0000,56.0000,85.0000,0.0208,-0.0049,0.9761
-88.0000,33.0000,81.0000,0.0134,-0.0056,0.9814
-55.0000,40.0000,57.0000,0.0188,-0.0063,0.9565
-74.0000,24.0000,61.0000,0.0181,-0.0088,0.9824
-79.0000,22.0000,66.0000,0.0107,-0.0098,0.9734
-58.0000,16.0000,80.0000,0.0159,-0.0066,0.9697
-62.0000,23.0000,50.0000,0.0200,-0.0037,0.9690
-83.0000,31.0000,65.0000,0.0176,-0.0100,0.9824
-42.0000,37.0000,66.0000,0.0259,-0.0020,0.9683
-40.0000,20.0000,62.0000,0.0217,-0.0081,0.9688
