spo2,heartrate
42.5000,0.0000,776.0000
63.7506,0.0000,792.0000
74.3811,0.0000,856.0000
79.7237,0.0000,968.0000
82.3979,0.0000,968.0000
83.7347,0.0000,976.0000
84.4001,0.0000,968.0000
84.7296,0.0000,952.0000
84.8911,0.0000,904.0000
84.9695,0.0000,936.0000
85.0066,0.0000,896.0000
85.0233,0.0000,920.0000
85.0302,0.0000,896.0000
85.0324,0.0000,904.0000
85.0328,0.0000,880.0000
85.0321,0.0000,888.0000
85.7400,0.0000,2552.0000
86.4302,0.0000,2664.0000
86.9397,0.0000,2752.0000
87.1701,0.0000,968.0000
87.2615,0.0000,968.0000
87.3969,0.0000,2816.0000
87.4495,0.0000,968.0000
87.4604,0.0000,968.0000
87.4502,0.0000,968.0000
87.4292,0.0000,968.0000
87.4943,0.0000,2936.0000
87.5156,0.0000,976.0000
87.5145,0.0000,976.0000
87.5021,0.0000,976.0000
87.5633,0.0000,3096.0000
87.5870,0.0000,968.0000
87.5915,0.0000,968.0000
87.5861,0.0000,968.0000
87.5753,0.0000,968.0000
87.6446,0.0000,3336.0000
87.6753,0.0000,952.0000
87.6863,0.0000,952.0000
87.6870,0.0000,952.0000
87.6821,0.0000,952.0000
87.7691,0.0000,3664.0000
87.8137,0.0000,904.0000
87.8365,0.0000,904.0000
87.8479,0.0000,904.0000
87.9391,0.0000,3984.0000
87.9842,0.0000,936.0000
88.0059,0.0000,936.0000
88.0155,0.0000,936.0000
88.0187,0.0000,936.0000
88.0827,0.0000,4040.0000
88.1186,0.0000,896.0000
88.1398,0.0000,896.0000
88.1533,0.0000,896.0000
88.1972,0.0000,4000.0000
88.2215,0.0000,920.0000
88.2357,0.0000,920.0000
88.2444,0.0000,920.0000
88.2501,0.0000,920.0000
88.2855,0.0000,4104.0000
88.3076,0.0000,896.0000
88.3227,0.0000,896.0000
88.3340,0.0000,896.0000
88.3628,0.0000,4136.0000
88.3807,0.0000,904.0000
88.3928,0.0000,904.0000
88.4017,0.0000,904.0000
88.4087,0.0000,904.0000
88.4310,0.0000,4160.0000
88.4470,0.0000,880.0000
88.4595,0.0000,880.0000
88.4729,0.0000,4128.0000
88.4843,0.0000,888.0000
88.4943,0.0000,888.0000
88.5031,0.0000,4152.0000
88.4781,0.0000,2552.0000
88.4369,0.0000,2552.0000
88.3887,0.0000,2552.0000
88.3627,0.0000,4160.0000
88.3232,0.0000,2664.0000
88.2778,0.0000,2664.0000
88.2302,0.0000,2664.0000
88.1995,0.0000,4136.0000
88.1603,0.0000,2752.0000
88.1177,0.0000,2752.0000
88.0740,0.0000,2752.0000
88.0303,0.0000,2752.0000
88.0008,0.0000,4160.0000
87.9650,0.0000,2816.0000
87.9267,0.0000,2816.0000
87.8876,0.0000,2816.0000
87.8605,0.0000,4168.0000
87.8279,0.0000,2936.0000
87.7930,0.0000,2936.0000
87.7575,0.0000,2936.0000
87.7311,0.0000,4176.0000
87.7007,0.0000,3096.0000
87.6687,0.0000,3096.0000
87.6362,0.0000,3096.0000
87.6107,0.0000,4168.0000
87.5826,0.0000,3336.0000
87.5536,0.0000,3336.0000
87.5294,0.0000,4168.0000
87.5044,0.0000,3664.0000
87.4792,0.0000,3664.0000
87.4540,0.0000,3664.0000
87.4312,0.0000,4168.0000
87.4085,0.0000,3984.0000
87.3857,0.0000,3984.0000
87.3629,0.0000,3984.0000
87.3415,0.0000,4168.0000
87.3199,0.0000,4040.0000
87.2983,0.0000,4040.0000
87.2768,0.0000,4040.0000
87.2559,0.0000,4168.0000
87.2347,0.0000,4000.0000
87.2133,0.0000,4000.0000
87.1919,0.0000,4000.0000
87.1713,0.0000,4176.0000
87.1510,0.0000,4104.0000
87.1311,0.0000,4104.0000
87.1115,0.0000,4216.0000
87.0923,0.0000,4136.0000
87.0733,0.0000,4136.0000
87.0546,0.0000,4136.0000
87.0362,0.0000,4272.0000
87.0184,0.0000,4160.0000
87.0009,0.0000,4160.0000
86.9837,0.0000,4160.0000
86.9665,0.0000,4312.0000
86.9491,0.0000,4128.0000
86.9318,0.0000,4128.0000
86.9151,0.0000,4360.0000
86.8985,0.0000,4152.0000
86.8822,0.0000,4152.0000
86.8661,0.0000,4152.0000
86.8507,0.0000,4392.0000
86.8351,0.0000,4160.0000
86.8196,0.0000,4160.0000
86.8046,0.0000,4384.0000
86.7894,0.0000,4136.0000
86.7741,0.0000,4136.0000
86.7590,0.0000,4136.0000
86.7445,0.0000,4360.0000
86.7301,0.0000,4160.0000
86.7157,0.0000,4160.0000
86.7020,0.0000,4376.0000
86.6884,0.0000,4168.0000
86.6750,0.0000,4168.0000
86.6617,0.0000,4168.0000
86.6488,0.0000,4344.0000
86.6360,0.0000,4176.0000
86.6232,0.0000,4176.0000
86.6106,0.0000,4336.0000
86.5981,0.0000,4168.0000
86.5857,0.0000,4168.0000
86.5735,0.0000,4344.0000
86.5614,0.0000,4168.0000
86.5494,0.0000,4168.0000
86.5379,0.0000,4392.0000
86.5263,0.0000,4168.0000
86.5148,0.0000,4168.0000
86.5035,0.0000,4168.0000
86.4926,0.0000,4432.0000
86.4817,0.0000,4168.0000
86.4710,0.0000,4168.0000
86.4608,0.0000,4496.0000
86.4506,0.0000,4168.0000
86.4404,0.0000,4168.0000
86.4306,0.0000,4520.0000
86.4207,0.0000,4176.0000
86.4107,0.0000,4176.0000
86.4008,0.0000,4176.0000
86.3915,0.0000,4560.0000
86.3821,0.0000,4216.0000
86.3726,0.0000,4216.0000
86.3638,0.0000,4608.0000
86.3548,0.0000,4272.0000
86.3458,0.0000,4272.0000
86.3375,0.0000,4640.0000
86.3289,0.0000,4312.0000
86.3202,0.0000,4312.0000
86.3115,0.0000,4312.0000
86.3036,0.0000,4632.0000
86.2954,0.0000,4360.0000
86.2872,0.0000,4360.0000
86.2797,0.0000,4688.0000
86.2721,0.0000,4392.0000
86.2644,0.0000,4392.0000
86.2572,0.0000,4720.0000
86.2497,0.0000,4384.0000
86.2422,0.0000,4384.0000
86.2353,0.0000,4776.0000
86.2281,0.0000,4360.0000
86.2208,0.0000,4360.0000
86.2140,0.0000,4736.0000
86.2071,0.0000,4376.0000
86.2000,0.0000,4376.0000
86.1937,0.0000,4800.0000
86.1870,0.0000,4344.0000
86.1803,0.0000,4344.0000
86.1741,0.0000,4784.0000
86.1675,0.0000,4336.0000
86.1609,0.0000,4336.0000
86.1548,0.0000,4768.0000
86.1484,0.0000,4344.0000
86.1419,0.0000,4344.0000
86.1360,0.0000,4768.0000
86.1298,0.0000,4392.0000
86.1236,0.0000,4392.0000
86.1178,0.0000,4760.0000
86.1118,0.0000,4432.0000
86.1058,0.0000,4432.0000
86.1002,0.0000,4784.0000
86.0946,0.0000,4496.0000
86.0889,0.0000,4496.0000
86.0837,0.0000,4824.0000
86.0783,0.0000,4520.0000
86.0728,0.0000,4520.0000
86.0678,0.0000,4864.0000
86.0626,0.0000,4560.0000
86.0573,0.0000,4560.0000
86.0525,0.0000,4912.0000
86.0475,0.0000,4608.0000
86.0425,0.0000,4608.0000
86.0379,0.0000,4936.0000
86.0331,0.0000,4640.0000
86.0283,0.0000,4640.0000
86.0240,0.0000,4992.0000
86.0194,0.0000,4632.0000
86.0147,0.0000,4632.0000
86.0107,0.0000,5048.0000
86.0065,0.0000,4688.0000
86.0021,0.0000,4688.0000
85.9982,0.0000,5016.0000
85.9939,0.0000,4720.0000
85.9896,0.0000,4720.0000
85.9856,0.0000,5000.0000
85.9815,0.0000,4776.0000
85.9773,0.0000,4776.0000
85.9735,0.0000,4992.0000
85.9694,0.0000,4736.0000
85.9655,0.0000,4992.0000
85.9616,0.0000,4800.0000
85.9576,0.0000,4800.0000
85.9540,0.0000,5032.0000
85.9502,0.0000,4784.0000
85.9463,0.0000,4784.0000
85.9426,0.0000,5032.0000
85.9388,0.0000,4768.0000
85.9349,0.0000,4768.0000
85.9314,0.0000,5048.0000
85.9277,0.0000,4768.0000
85.9239,0.0000,4768.0000
85.9205,0.0000,5080.0000
85.9169,0.0000,4760.0000
85.9136,0.0000,5104.0000
85.9101,0.0000,4784.0000
85.9064,0.0000,4784.0000
85.9033,0.0000,5144.0000
85.8999,0.0000,4824.0000
85.8964,0.0000,4824.0000
85.8933,0.0000,5128.0000
85.8901,0.0000,4864.0000
85.8870,0.0000,5048.0000
85.8838,0.0000,4912.0000
85.8805,0.0000,4912.0000
85.8775,0.0000,5080.0000
85.8744,0.0000,4936.0000
85.8712,0.0000,4936.0000
85.8681,0.0000,5048.0000
85.8651,0.0000,4992.0000
85.8622,0.0000,5112.0000
85.8594,0.0000,5048.0000
85.8566,0.0000,5048.0000
85.8539,0.0000,5136.0000
85.8511,0.0000,5016.0000
85.8485,0.0000,5128.0000
85.8457,0.0000,5000.0000
85.8431,0.0000,5176.0000
85.8403,0.0000,4992.0000
85.8375,0.0000,4992.0000
85.8350,0.0000,5184.0000
85.8322,0.0000,4992.0000
85.8298,0.0000,5200.0000
85.8272,0.0000,5032.0000
85.8245,0.0000,5032.0000
85.8220,0.0000,5176.0000
85.8194,0.0000,5032.0000
85.8170,0.0000,5208.0000
85.8145,0.0000,5048.0000
85.8119,0.0000,5048.0000
85.8095,0.0000,5176.0000
85.8070,0.0000,5080.0000
85.8046,0.0000,5168.0000
85.8022,0.0000,5104.0000
85.7997,0.0000,5104.0000
85.7973,0.0000,5176.0000
85.7950,0.0000,5144.0000
85.7927,0.0000,5216.0000
85.7903,0.0000,5128.0000
85.7880,0.0000,5128.0000
85.7858,0.0000,5256.0000
85.7835,0.0000,5048.0000
85.7813,0.0000,5280.0000
85.7791,0.0000,5080.0000
85.7768,0.0000,5080.0000
85.7748,0.0000,5328.0000
85.7726,0.0000,5048.0000
85.7705,0.0000,5288.0000
85.7684,0.0000,5112.0000
85.7662,0.0000,5112.0000
85.7642,0.0000,5296.0000
85.7621,0.0000,5136.0000
85.7600,0.0000,5224.0000
85.7579,0.0000,5128.0000
85.7557,0.0000,5128.0000
85.7537,0.0000,5248.0000
85.7516,0.0000,5176.0000
85.7495,0.0000,5200.0000
85.7475,0.0000,5184.0000
85.7456,0.0000,5256.0000
85.7436,0.0000,5200.0000
85.7416,0.0000,5200.0000
85.7397,0.0000,5264.0000
85.7377,0.0000,5176.0000
85.7359,0.0000,5344.0000
85.7340,0.0000,5208.0000
85.7321,0.0000,5208.0000
85.7303,0.0000,5336.0000
85.7285,0.0000,5176.0000
85.7267,0.0000,5328.0000
85.7248,0.0000,5168.0000
85.7230,0.0000,5312.0000
85.7211,0.0000,5176.0000
85.7192,0.0000,5176.0000
85.7174,0.0000,5320.0000
85.7155,0.0000,5216.0000
85.7139,0.0000,5360.0000
85.7121,0.0000,5256.0000
85.7104,0.0000,5336.0000
85.7087,0.0000,5280.0000
85.7070,0.0000,5280.0000
85.7053,0.0000,5328.0000
85.7037,0.0000,5328.0000
85.7021,0.0000,5344.0000
85.7005,0.0000,5288.0000
85.6989,0.0000,5344.0000
85.6973,0.0000,5296.0000
85.6957,0.0000,5328.0000
85.6940,0.0000,5224.0000
85.6922,0.0000,5224.0000
85.6905,0.0000,5216.0000
85.6888,0.0000,5248.0000
85.6869,0.0000,5080.0000
85.6851,0.0000,5200.0000
85.6832,0.0000,4880.0000
85.6814,0.0000,5256.0000
85.6796,0.0000,5256.0000
85.6777,0.0000,4672.0000
85.6758,0.0000,5264.0000
85.6739,0.0000,4592.0000
85.6721,0.0000,5344.0000
85.6703,0.0000,4296.0000
85.6686,0.0000,5336.0000
85.6670,0.0000,3888.0000
85.6655,0.0000,5328.0000
85.6641,0.0000,3672.0000
85.6626,0.0000,5312.0000
85.6612,0.0000,5312.0000
85.6601,0.0000,3384.0000
85.6589,0.0000,5320.0000
85.6581,0.0000,3176.0000
85.6571,0.0000,5360.0000
85.6565,0.0000,3120.0000
85.6555,0.0000,5336.0000
85.6550,0.0000,3024.0000
85.6541,0.0000,5328.0000
85.6529,0.0000,5328.0000
85.6526,0.0000,2736.0000
85.6517,0.0000,5344.0000
85.6519,0.0000,2464.0000
85.6513,0.0000,5344.0000
85.6515,0.0000,2328.0000
85.6509,0.0000,5328.0000
85.6514,0.0000,2192.0000
85.6508,0.0000,5216.0000
85.6513,0.0000,2080.0000
85.6508,0.0000,5080.0000
85.6514,0.0000,1976.0000
85.6508,0.0000,4880.0000
85.6496,0.0000,4880.0000
85.6499,0.0000,1888.0000
85.6491,0.0000,4672.0000
85.6498,0.0000,1720.0000
85.6493,0.0000,4592.0000
85.6503,0.0000,1632.0000
85.6500,0.0000,4296.0000
85.6509,0.0000,1632.0000
85.6507,0.0000,3888.0000
85.6518,0.0000,1536.0000
85.6519,0.0000,3672.0000
85.6534,0.0000,1392.0000
85.6539,0.0000,3384.0000
85.6557,0.0000,1256.0000
85.6565,0.0000,3176.0000
85.6586,0.0000,1144.0000
85.6596,0.0000,3120.0000
85.6600,0.0000,3120.0000
85.6618,0.0000,1080.0000
85.6627,0.0000,3024.0000
85.6647,0.0000,1072.0000
85.6659,0.0000,2736.0000
85.6681,0.0000,1112.0000
85.6696,0.0000,2464.0000
85.6717,0.0000,1192.0000
85.6732,0.0000,2328.0000
